$m_1$,$m_3$,$\alpha_{12}$,$\alpha_{23}$,co1$_{theo}$,co1$_{approx}$,co1$_{saa}$,$err1$,co2$_{theo}$,co2$_{approx}$,co2$_{saa}$,$err2$
1.0,1.0,0.75,0.75,3.1622776675474927e-08,3.162277667566328e-08,3.162277660168379e-08,2.333480562423355e-09,-3.77628440926565e-09,-4.0070511915621495e-09,-3.906414837235422e-09,0.03445991187805623
1.0,5.5,0.75,0.75,3.162277662417608e-08,3.162277662461763e-08,3.162277660168379e-08,7.112685012536951e-10,-2.5844668773640227e-09,-2.7287009565828425e-09,-2.0341152648017996e-09,0.21294589510218204
1.0,10.0,0.75,0.75,3.1622776615107305e-08,3.162277661547208e-08,3.162277660168379e-08,4.244887668680319e-10,-1.7339594617006636e-09,-1.8350399050137726e-09,-1.2913841167473071e-09,0.25523973006801415
5.5,1.0,0.75,0.75,3.1622776625399755e-08,3.162277662547593e-08,3.162277660168379e-08,7.499645990782774e-10,-1.5560455548831061e-09,-1.6890134349416795e-09,-2.0341095151273446e-09,0.3072300542513049
5.5,5.5,0.75,0.75,3.1622776615100324e-08,3.1622776615134576e-08,3.162277660168379e-08,4.242679954774624e-10,-3.7762780175151e-09,-4.0070619549665e-09,-3.906425911178104e-09,0.03446459531299163
5.5,10.0,0.75,0.75,3.162277661108646e-08,3.162277661114619e-08,3.162277660168379e-08,2.9733846643663293e-10,-3.85624329253675e-09,-4.071118064552888e-09,-3.577174319028266e-09,0.0723680930735323
10.0,1.0,0.75,0.75,3.1622776615809595e-08,3.162277661587098e-08,3.162277660168379e-08,4.4669711318693486e-10,-9.49823232987182e-10,-1.0363903584000457e-09,-1.291376816262709e-09,0.3595969980659929
10.0,5.5,0.75,0.75,3.1622776611373015e-08,3.1622776611387686e-08,3.162277660168379e-08,3.064001380273182e-10,-3.122078789326208e-09,-3.339712784300773e-09,-3.5771642077482167e-09,0.14576359186637414
10.0,10.0,0.75,0.75,3.1622776609062925e-08,3.1622776609081685e-08,3.162277660168379e-08,2.333486635921442e-10,-3.77627164172835e-09,-4.00707272430165e-09,-3.906436956334656e-09,0.034469266767771664
1.0,1.0,0.75,0.7722222222222223,3.1622776679206835e-08,3.162277667980778e-08,3.162277660168379e-08,2.451493856472254e-09,-1.59103628024035e-09,-1.7176431099576495e-09,-1.6378663220621528e-09,0.029433673137062823
1.0,5.5,0.75,0.7722222222222223,3.162277662527106e-08,3.162277662581003e-08,3.162277660168379e-08,7.458948720630953e-10,-1.0926084022495044e-09,-1.03187746739548e-09,-8.528598793041322e-10,0.21942767642255784
1.0,10.0,0.75,0.7722222222222223,3.162277661560524e-08,3.162277661597878e-08,3.162277660168379e-08,4.402348939339338e-10,-7.271283179647542e-10,-6.739386923142361e-10,-5.414515478805963e-10,0.25535626311992726
5.5,1.0,0.75,0.7722222222222223,3.162277662579087e-08,3.162277662589263e-08,3.162277660168379e-08,7.6233281922952e-10,-5.990375183911563e-10,-7.892437432401705e-10,-8.528534753797884e-10,0.42370627748043105
5.5,5.5,0.75,0.7722222222222223,3.16227766157789e-08,3.162277661588818e-08,3.162277660168379e-08,4.4572655611639783e-10,-1.591029375031e-09,-1.7176558591700998e-09,-1.6378786339002203e-09,0.029445879255565223
5.5,10.0,0.75,0.7722222222222223,3.1622776611634814e-08,3.162277661176099e-08,3.162277660168379e-08,3.1467896054456817e-10,-1.6432256482504693e-09,-1.6659701896851988e-09,-1.4998376911634472e-09,0.08726005295723462
