m2,dist1,psi_theo,psi_approx,S2psi
1e-20,5.848563360177542e-06,1.0000111879571039e-10,9.999994962148878e-11,0.0301879485939173
1e-20,8.551802060919603e-06,1.00001507457032e-10,9.999988103147472e-11,0.04199412731456972
1e-20,1.0381013693860119e-05,1.0000184519745733e-10,9.999976792786894e-11,0.053634870142745615
1e-20,1.2630696530176958e-05,1.000020718721577e-10,9.999959897072378e-11,0.0638500404692349
1e-20,1.4485238803139738e-05,1.0000226371954235e-10,9.999936270357089e-11,0.07490391029704407
1e-20,1.6587164054507733e-05,1.0000235492821139e-10,9.999904755158094e-11,0.08539609739564741
1e-20,1.8620658447571153e-05,1.0000237244336681e-10,9.999864181971139e-11,0.09632428858927711
1e-20,2.079041969062461e-05,1.0000228166173477e-10,9.999813369084313e-11,0.10710014789234393
1e-20,2.274877629022659e-05,1.0000207625949906e-10,9.999751122390529e-11,0.1178687121967104
1e-20,2.487075008608281e-05,1.0000173858137058e-10,9.999676235198904e-11,0.12848569014415204
1e-20,2.693981147426189e-05,1.0000127415104008e-10,9.999587488044987e-11,0.13940856718373543
1e-20,2.9035099168695735e-05,1.0000065322272765e-10,9.999483648499872e-11,0.15018752235584065
1e-20,3.099260593760667e-05,9.999986853909341e-11,9.999363470978206e-11,0.16095678070640942
1e-20,3.319497247993376e-05,9.99989120117792e-11,9.999225696545108e-11,0.17183255731367353
1e-20,3.5131274339230735e-05,9.999776972562348e-11,9.999069052722011e-11,0.1827841168048162
1e-20,3.718580759204689e-05,9.999642390098765e-11,9.998892253291409e-11,0.19368449081786263
1e-20,3.924651188924162e-05,9.999486821206201e-11,9.998693998100618e-11,0.2047060456274736
1e-20,4.131916010212967e-05,9.999308473657243e-11,9.998472972864391e-11,0.215725377097307
1e-20,4.345557997027948e-05,9.999106458676721e-11,9.998227848966679e-11,0.22685605165402178
1e-20,4.5540668718898345e-05,9.998878931318062e-11,9.997957283261265e-11,0.23796850500257793
1e-20,4.7572167700341276e-05,9.998625073284538e-11,9.99765991787148e-11,0.24920205608522228
1e-20,4.9657844740324365e-05,9.99834308820888e-11,9.997334379988991e-11,0.2604473424541595
1e-20,5.1866318581746014e-05,9.998032104219716e-11,9.99697928167161e-11,0.271837613021814
1e-20,5.3838463488808106e-05,9.997690232610268e-11,9.99659321964026e-11,0.28324753089441085
1e-20,5.600837931515493e-05,9.99731623890578e-11,9.996174775075112e-11,0.2947246937651892
1e-20,5.803305975252909e-05,9.996908781308596e-11,9.995722513410758e-11,0.30629305416452063
1e-20,6.019696210790818e-05,9.996466315044528e-11,9.995234984130649e-11,0.3179282748749417
1e-20,6.23101354426909e-05,9.995987561199227e-11,9.994710720560843e-11,0.3296788352150015
1e-20,6.45873230962788e-05,9.995470944063775e-11,9.994148239662883e-11,0.3415208077740009
1e-20,6.654705699307035e-05,9.994914897139217e-11,9.993546041826019e-11,0.3534369220923234
1e-20,6.869614342371031e-05,9.994317982846158e-11,9.992902610658834e-11,0.36544752734604546
1e-20,7.103531937092165e-05,9.99367867151605e-11,9.99221641278018e-11,0.37755358212499285
1e-20,7.298928453009545e-05,9.992995657712471e-11,9.991485897609588e-11,0.3898183823491004
1e-20,7.513283754618461e-05,9.992266973695412e-11,9.990709497157121e-11,0.40213871299373394
1e-20,7.745278053270293e-05,9.991491246784018e-11,9.989885625812644e-11,0.4145695521636587
1e-20,7.959399522038952e-05,9.990666972842916e-11,9.989012680134985e-11,0.42713654050443783
1e-20,8.19337223474161e-05,9.989792502739206e-11,9.988089038640294e-11,0.4398325390631524
1e-20,8.423414790661331e-05,9.98886616976027e-11,9.98711306159049e-11,0.4526505830440042
1e-20,8.631546805849135e-05,9.987886316895672e-11,9.986083090780944e-11,0.46559098078593925
1e-20,8.841957252905918e-05,9.986851319442269e-11,9.984997449328718e-11,0.47866720505445415
1e-20,9.066376341216497e-05,9.985759519482323e-11,9.983854441459758e-11,0.49188903030803555
1e-20,9.33297218862935e-05,9.984609180855291e-11,9.982652352296518e-11,0.5052509613009343
1e-20,9.545610349763288e-05,9.983398569759495e-11,9.981389447645853e-11,0.5187530991088543
1e-20,9.77660928650752e-05,9.982125930298564e-11,9.980063973786217e-11,0.5323948821948424
1e-20,9.997247443572806e-05,9.980789579073853e-11,9.978674157255608e-11,0.5461995648179122
1e-20,0.00010226405759238528,9.979387675872623e-11,9.977218204639308e-11,0.5601550637803221
1e-20,0.00010452879145154356,9.977918502993898e-11,9.975694302358552e-11,0.5742861346213521
