m1,m3,alpha12,alpha23,G1,S1,G2,S2,dist1,dist2,S1/G2,S1/G1,phi_theo,phi_approx,phi_error
1.0,1.0,0.75,0.75,0.4245564965531692,0.10972090592405666,0.8829525366278571,0.06581930545705596,0.04719809863698814,0.10571389101500792,0.12426591619873373,0.2584365256799593,1.701170e-05,1.717558e-05,-0.009633213007132935
1.0,3.0,0.75,0.75,0.43504883090598423,0.18760657504322711,0.835695444814531,0.1898117337567669,0.07513564115654592,0.19990640055734918,0.22449156113907423,0.4312310750325166,1.279127e-05,1.197184e-05,0.06406194031944235
1.0,10.0,0.75,0.75,0.4435145837911101,0.22106637201058973,0.8255475415075488,0.2729971827640837,0.10004707400569018,0.23987016638744524,0.2677815157766638,0.4984421709900509,5.945442e-06,5.255264e-06,0.11608519321662646
3.0,1.0,0.75,0.75,0.6084126045209931,0.08355482754538271,0.8092882186467705,0.012990509035596835,0.041723593003591124,0.018248334041776965,0.10324483369484443,0.13733250581020742,8.695505e-06,9.378798e-06,-0.07858005104079126
3.0,3.0,0.75,0.75,0.42458818940617826,0.11154221066768533,0.8832508146337064,0.06586108035906955,0.047198068244835543,0.10571389127937557,0.12628599806493593,0.2627068143927563,9.821702e-06,9.916336e-06,-0.009635194334638284
3.0,10.0,0.75,0.75,0.4385019525920608,0.197191916803053,0.8344545564769069,0.2003789800119682,0.07811832221006691,0.20546166779496403,0.23631234951319988,0.4496945011018024,7.023365e-06,6.531019e-06,0.0701012356889169
10.0,1.0,0.75,0.75,0.15127867567974984,0.08656331163776292,0.7677077792438254,0.08543124479076464,0.04171965299007601,0.09061899731515591,0.11275554837157675,0.5722109295893993,3.130386e-06,3.512722e-06,-0.1221372519289456
10.0,3.0,0.75,0.75,0.5464600219652805,0.08870567360458166,0.8006669634407984,0.02047475578983694,0.04170966062484258,0.027658003569549543,0.11078972613454233,0.1623278374245236,4.631803e-06,5.020185e-06,-0.08385111508005857
10.0,10.0,0.75,0.75,0.42516569817973016,0.12211251519798356,0.888813161864015,0.06627185165810508,0.04719796062952704,0.10571389487926332,0.13738828410449025,0.28721158767225613,5.379554e-06,5.431424e-06,-0.009642121698214094
1.0,1.0,0.75,0.8,0.47256453061533615,0.09961725029918135,0.7225817460334167,0.053984911771911614,0.044992573297412616,0.0889706722044052,0.13786294885807207,0.21080136964462323,-6.515366e-06,-6.543279e-06,-0.004284139259546984
1.0,3.0,0.75,0.8,0.4477638670163659,0.1319806809310856,0.7789621749937523,0.15741068414711948,0.061653316161375975,0.17130986111722815,0.16943143732511035,0.2947550944888138,-2.964252e-06,-3.829714e-06,-0.2919664023607881
1.0,10.0,0.75,0.8,0.4371027792938255,0.15683438531511049,0.7838755360933551,0.24113508421831328,0.0747379484116538,0.2084090273058003,0.20007562182222816,0.3588043653451231,-9.574382e-07,-1.491241e-06,-0.5575328450954624
3.0,1.0,0.75,0.8,0.611876366630106,0.10237255783410594,0.8408954139498938,0.01020175476893836,0.04478832558315438,0.014041064129216945,0.12174231912294148,0.1673092203216154,-5.254828e-06,-4.201310e-06,0.2004857106731766
3.0,3.0,0.75,0.8,0.4729230750193772,0.10527048455410376,0.7253370087957022,0.05431156448658905,0.04499256877488456,0.08897067048333746,0.14513320467252508,0.22259536511258302,-3.761657e-06,-3.777748e-06,-0.004277596525590904
3.0,10.0,0.75,0.8,0.44817248508080776,0.14100558102580657,0.7796827088956474,0.16793640927668432,0.0632803704702195,0.17637966554426932,0.18084995270130935,0.31462346690110293,-1.560931e-06,-2.059967e-06,-0.3197040596857831
10.0,1.0,0.75,0.8,0.15392422759615995,0.0984353074266381,0.8364963796444993,0.07086287243644651,0.04424031307755801,0.07513272717442909,0.11767571243819597,0.6395049626943448,-2.503553e-06,-1.735576e-06,0.3067546457228764
10.0,3.0,0.75,0.8,0.5467579489391338,0.10924850446576158,0.8373438811301886,0.01667125673371477,0.04497415074785791,0.021878402605949004,0.13047029652656628,0.19981146077114162,-2.896362e-06,-2.276048e-06,0.21417018144658784
10.0,10.0,0.75,0.8,0.47429895383302767,0.12041539889416215,0.743391498830591,0.05540568850258698,0.04499255203227995,0.08897066332401506,0.16198113522092242,0.2538808022261698,-2.060361e-06,-2.069127e-06,-0.004254703137209338
1.0,1.0,0.75,0.85,0.4701949294208527,0.06259486953305031,0.8619634426583863,0.045466932887466886,0.03694269020712825,0.0745951783972106,0.0726189376895163,0.1331253606034193,-3.301209e-05,-3.325349e-05,-0.007312461111774543
1.0,3.0,0.75,0.85,0.4343817469002674,0.08695253077127356,0.8200046637959766,0.13407431106919646,0.044185184157429745,0.1452136275033642,0.10603906856913684,0.2001753788960142,-1.564357e-05,-1.648683e-05,-0.05390448091055877
1.0,10.0,0.75,0.85,0.43481306869347447,0.10826301084403117,0.7910778029346307,0.21345373538700127,0.050570638154338876,0.17882136500124715,0.13685507347369888,0.24898748137754845,-5.467209e-06,-5.887271e-06,-0.07683308804683651
3.0,1.0,0.75,0.85,0.5704902186624381,0.12597394034024179,0.8259260216763428,0.007738932084527245,0.049495407483541164,0.010130298995909878,0.15252448407492777,0.2208170030252196,-2.841746e-05,-2.662377e-05,0.06311920951227264
3.0,3.0,0.75,0.85,0.4707494256081828,0.06759596363409741,0.8675334670068794,0.047144584514261206,0.0369427121019955,0.07459517474111091,0.07791741322362308,0.14359223815677966,-1.905955e-05,-1.919889e-05,-0.007311117897560644
3.0,10.0,0.75,0.85,0.43666428392022105,0.09456242964474092,0.8273534749082689,0.147977572629881,0.04497801132707893,0.1497306010747588,0.11429507763320305,0.21655636406942216,-8.297785e-06,-8.769954e-06,-0.056903001609029315
10.0,1.0,0.75,0.85,0.15731115993747144,0.1371020403260147,0.871766237405606,0.058034915813097866,0.054122802193072174,0.061108325568485014,0.15726927064075474,0.8715341008260982,-1.528630e-05,-1.325123e-05,0.13313060617759817
10.0,3.0,0.75,0.85,0.5178821500291872,0.13910819871171393,0.8767299936835412,0.01373974772302574,0.05101267333621588,0.01659407761109574,0.15866709216512276,0.268609757459055,-1.582884e-05,-1.471762e-05,0.07020219525610492
10.0,10.0,0.75,0.85,0.4728929363550377,0.08346006792239888,0.8824595293794658,0.05292829626644326,0.03694278874792704,0.07459515863924981,0.09457665212260434,0.17648829471992553,-1.043936e-05,-1.051563e-05,-0.007306418759296667
1.0,1.0,0.75,0.9,0.4493477324915908,0.03467983447843209,0.9290042508095329,0.03718906281804177,0.02346538305283445,0.06217588102113047,0.03733011388076227,0.07717816730961494,-5.525507e-05,-5.579561e-05,-0.009782763359042908
1.0,3.0,0.75,0.9,0.42442877974083193,0.05269139015282618,0.8746714335127658,0.10862178581880973,0.026293061326755674,0.12150088512252907,0.06024135250560592,0.12414660048501192,-2.381342e-05,-2.450114e-05,-0.028879406578072964
1.0,10.0,0.75,0.9,0.44831665762459044,0.07908164659199196,0.8131510805342889,0.17029561300539936,0.02903341731881159,0.15116476627511966,0.09725332534764708,0.17639685085762088,-8.019974e-06,-8.312483e-06,-0.03647255217109959
3.0,1.0,0.75,0.9,0.546301331849215,0.09405246371794145,0.9322450824595114,0.004994271771381321,0.04154958555887643,0.006567654280333728,0.10088813069392218,0.17216224496392207,-5.836764e-05,-5.643212e-05,0.03316091867863147
3.0,3.0,0.75,0.9,0.4497924738537504,0.04820555059420298,0.940807769923555,0.03748202245820425,0.023465385071683942,0.0621758754956511,0.05123846989286654,0.10717287059337718,-3.190153e-05,-3.221360e-05,-0.009782153452383934
3.0,10.0,0.75,0.9,0.4270437007498205,0.07927109568085143,0.8783391878874144,0.11682835041559744,0.026635198965863693,0.1254247299593393,0.09025112026655062,0.18562759628971004,-1.256615e-05,-1.294228e-05,-0.029931665867071994
10.0,1.0,0.75,0.9,0.1614672877401035,0.2373776626079151,0.9277052569693429,0.04675196220460819,0.07927514273620644,0.048473510453563524,0.25587616414224923,1.4701285067102654,-4.333863e-05,-3.859800e-05,0.10938588268347754
10.0,3.0,0.75,0.9,0.4975990621112731,0.13468375031250784,0.9721108033960216,0.009727986342133189,0.04505469413847003,0.011827178487535901,0.1385477353425111,0.2706672109490228,-3.336202e-05,-3.206524e-05,0.038869937608590456
10.0,10.0,0.75,0.9,0.450099058737724,0.10034844513009622,0.9279356082057533,0.038188543793612584,0.02346539235302241,0.062175851954501676,0.10814160405389436,0.22294746718981698,-1.747320e-05,-1.764409e-05,-0.009780026662687756
1.0,1.0,0.8,0.75,0.4725683448741422,0.05858890378974002,0.922682293947654,0.05398574197962878,0.03108743984614136,0.08897067497617377,0.06349845897559178,0.12397974689850172,3.527983e-05,3.516144e-05,0.003355655601701707
1.0,3.0,0.8,0.75,0.4477635121405566,0.15083964296073413,0.8229694798889817,0.15741533606918684,0.06132454133256053,0.17130986195542416,0.1832870436229085,0.336873458580038,2.969609e-05,2.865683e-05,0.03499645825195361
1.0,10.0,0.8,0.75,0.43710263100710567,0.22518179486359402,0.8689511662561812,0.24113554345089155,0.09540577900789099,0.20840902732586722,0.2591420595403248,0.5151691591166226,1.558808e-05,1.453308e-05,0.06767948296261421
