m1,m3,alpha_12,alpha_23,delta,$\phi_{theo}$,$\phi_{calc}$,$\phi_{saa1}$,$\phi_{saa2}$,error1,error2
1.0,1.0,0.75,0.75,-0.09264876371003666,1.701170e-05,1.792008e-05,1.747002e-05,1.717558e-05,0.02694137149280542,0.009633213007132935
1.0,10.0,0.75,0.75,-0.09264928747722331,5.945442e-06,6.086139e-06,4.283037e-06,5.255264e-06,0.27961003474176693,0.11608519321662646
10.0,1.0,0.75,0.75,-0.09264876370998204,3.130386e-06,3.437318e-06,4.283012e-06,3.512722e-06,0.36820599573709767,0.1221372519289456
10.0,10.0,0.75,0.75,-0.09264928747669857,5.379554e-06,5.666857e-06,5.524536e-06,5.431424e-06,0.026950637565004588,0.009642121698213463
1.0,1.0,0.75,0.8,0.0347849357379242,-6.515366e-06,-6.937571e-06,-6.559110e-06,-6.543279e-06,0.006713990129892078,0.004284139259548544
1.0,10.0,0.75,0.8,0.03478426610408031,-9.574382e-07,-1.673520e-06,-1.608024e-06,-1.491241e-06,0.6795068939010726,0.5575328450954624
10.0,1.0,0.75,0.8,0.03478493573799497,-2.503553e-06,-1.729034e-06,-1.608055e-06,-1.735576e-06,0.35769078669313725,0.3067546457228764
10.0,10.0,0.75,0.8,0.03478426610475146,-2.060361e-06,-2.193810e-06,-2.074133e-06,-2.069127e-06,0.006684398317071532,0.004254703137207693
1.0,1.0,0.75,0.85,0.1888586536686462,-3.301209e-05,-3.537285e-05,-3.561153e-05,-3.325349e-05,0.07874210826810804,0.007312461111774133
1.0,10.0,0.75,0.85,0.18885778593168928,-5.467209e-06,-6.379639e-06,-8.730610e-06,-5.887271e-06,0.596904513459757,0.07683308804683651
10.0,1.0,0.75,0.85,0.1888586536687329,-1.528630e-05,-1.353630e-05,-8.730650e-06,-1.325123e-05,0.4288580044892643,0.13313060617759817
10.0,10.0,0.75,0.85,0.18885778593255897,-1.043936e-05,-1.118583e-05,-1.126130e-05,-1.051563e-05,0.0787349946989382,0.007306418759296342
1.0,1.0,0.75,0.8999999999999999,0.378778102243683,-5.525507e-05,-5.849149e-05,-7.142308e-05,-5.579561e-05,0.29260696320956725,0.009782763359042908
1.0,10.0,0.75,0.8999999999999999,0.3787769575883623,-8.019974e-06,-8.712523e-06,-1.751029e-05,-8.312483e-06,1.1833346261345739,0.03647255217109769
10.0,1.0,0.75,0.8999999999999999,0.37877810224379943,-4.333863e-05,-4.049739e-05,-1.751034e-05,-3.859800e-05,0.5959646543573952,0.10938588268348337
10.0,10.0,0.75,0.8999999999999999,0.3787769575895124,-1.747320e-05,-1.849660e-05,-2.258589e-05,-1.764409e-05,0.29260180415434695,0.009780026662721462
1.0,1.0,0.75,0.95,0.6185538472069392,-6.740541e-05,-6.944773e-05,-1.166356e-04,-6.795280e-05,0.7303600370608997,0.00812087629029055
1.0,10.0,0.75,0.95,0.6185523013581788,-9.184535e-06,-9.508064e-06,-2.859474e-05,-9.326440e-06,2.1133571777466407,0.01545037904758194
10.0,1.0,0.75,0.95,0.618553847207099,-8.225907e-05,-8.134609e-05,-2.859481e-05,-7.794705e-05,0.6523810545185489,0.052420002264215976
10.0,10.0,0.75,0.95,0.6185523013597302,-2.131547e-05,-2.196129e-05,-3.688333e-05,-2.148855e-05,0.7303548593083132,0.008119810543788755
1.0,1.0,0.8,0.75,-0.20151360625215609,3.527983e-05,3.571955e-05,3.799777e-05,3.516144e-05,0.07703945130575109,0.0033556556017020913
1.0,10.0,0.8,0.75,-0.20151412031379629,1.558808e-05,1.656592e-05,9.315693e-06,1.453308e-05,0.4023834429261891,0.06767948296261421
10.0,1.0,0.8,0.75,-0.20151360625210432,5.967440e-06,5.951667e-06,9.315670e-06,6.127392e-06,0.5610830069232586,0.026804118926451778
10.0,10.0,0.8,0.75,-0.20151412031328467,1.115644e-05,1.129554e-05,1.201598e-05,1.111905e-05,0.07704447646143267,0.0033513914904413837
1.0,1.0,0.8,0.8,-0.07446809417698037,1.422101e-05,1.436828e-05,1.404184e-05,1.388795e-05,0.012599156271242092,0.023420374495375776
1.0,10.0,0.8,0.8,-0.07446877230115742,4.736068e-06,4.530549e-06,3.442579e-06,4.056757e-06,0.2731146214485858,0.14343356589152584
10.0,1.0,0.8,0.8,-0.07446809417691318,2.689650e-06,2.881514e-06,3.442547e-06,2.933431e-06,0.27992398205080987,0.09063678802928529
10.0,10.0,0.8,0.8,-0.07446877230047881,4.497045e-06,4.543688e-06,4.440460e-06,4.391794e-06,0.012582762943139534,0.023404364361009785
1.0,1.0,0.8,0.85,0.08459153813988628,-1.539411e-05,-1.647937e-05,-1.595073e-05,-1.572594e-05,0.03615830494755147,0.02155579983144866
1.0,10.0,0.8,0.85,0.08459062491491362,-2.815850e-06,-3.535812e-06,-3.910497e-06,-3.261858e-06,0.38874461184950276,0.158392049586595
10.0,1.0,0.8,0.85,0.08459153813997887,-5.453345e-06,-4.712220e-06,-3.910539e-06,-4.713020e-06,0.28291007194307394,0.1357561654595897
10.0,10.0,0.8,0.85,0.08459062491582858,-4.868086e-06,-5.211179e-06,-5.044010e-06,-4.972927e-06,0.03613830120439971,0.0215363792721964
1.0,1.0,0.8,0.8999999999999999,0.28937068628149526,-4.644980e-05,-4.888932e-05,-5.456426e-05,-4.683090e-05,0.1746931432154094,0.008204700605156209
1.0,10.0,0.8,0.8999999999999999,0.2893694217887687,-7.162687e-06,-7.814924e-06,-1.337711e-05,-7.446275e-06,0.8676108087438683,0.03959244939391631
10.0,1.0,0.8,0.8999999999999999,0.2893706862816215,-2.761385e-05,-2.570500e-05,-1.337717e-05,-2.506123e-05,0.5155630217403565,0.09243965463421573
10.0,10.0,0.8,0.8999999999999999,0.2893694217900369,-1.468875e-05,-1.546011e-05,-1.725466e-05,-1.480919e-05,0.17468503518781156,0.008198963784040957
1.0,1.0,0.8,0.95,0.5627134999627776,-6.587050e-05,-6.777289e-05,-1.061063e-04,-6.632176e-05,0.6108315549114336,0.006850719808572902
1.0,10.0,0.8,0.95,0.5627116813973863,-9.063762e-06,-9.383387e-06,-2.601331e-05,-9.199777e-06,1.8700346919267403,0.015006524146773838
10.0,1.0,0.8,0.95,0.562713499962961,-7.392078e-05,-7.247083e-05,-2.601339e-05,-6.990353e-05,0.6480909204783433,0.05434532763171177
10.0,10.0,0.8,0.95,0.5627116813992049,-2.083010e-05,-2.143165e-05,-3.355364e-05,-2.097276e-05,0.6108248232876967,0.0068488072956380645
1.0,1.0,0.85,0.75,-0.3355812436462654,5.203284e-05,5.156435e-05,6.327781e-05,5.182448e-05,0.2161127813757679,0.004004404328996272
1.0,10.0,0.85,0.75,-0.33558172435603445,3.334184e-05,3.504505e-05,1.551344e-05,3.173621e-05,0.5347156396991111,0.04815661473947666
10.0,1.0,0.85,0.75,-0.33558124364621483,7.883246e-06,7.711777e-06,1.551341e-05,7.942647e-06,0.9678966050225138,0.007534981252743744
10.0,10.0,0.85,0.75,-0.33558172435555156,1.645421e-05,1.630609e-05,2.001023e-05,1.638836e-05,0.21611607552840745,0.004002221984865322
1.0,1.0,0.85,0.8,-0.21446923198168483,3.757427e-05,3.739523e-05,4.044071e-05,3.705775e-05,0.07628714988779388,0.013746772204888834
1.0,10.0,0.85,0.8,-0.21446989099760413,1.693193e-05,1.751362e-05,9.914619e-06,1.590525e-05,0.41444235826139014,0.060635528804011685
10.0,1.0,0.85,0.8,-0.21446923198161355,6.319543e-06,6.209151e-06,9.914589e-06,6.358678e-06,0.568877475479614,0.006192672137988262
10.0,10.0,0.85,0.8,-0.21446989099694172,1.188199e-05,1.182544e-05,1.278851e-05,1.171872e-05,0.07629383374532464,0.01374115945276643
1.0,1.0,0.85,0.85,-0.05603792287610417,1.106735e-05,1.077159e-05,1.056661e-05,1.050070e-05,0.04524501339334281,0.05120081608941472
1.0,10.0,0.85,0.85,-0.05603885516785012,3.492364e-06,3.168394e-06,2.590592e-06,2.930498e-06,0.25821265832200135,0.1608843229746926
10.0,1.0,0.85,0.85,-0.056037922876009,2.167274e-06,2.263865e-06,2.590549e-06,2.295483e-06,0.19530264477551923,0.05915676257573356
10.0,10.0,0.85,0.85,-0.05603885516691479,3.499743e-06,3.406332e-06,3.341512e-06,3.320667e-06,0.04521229083534695,0.051168503035761655
1.0,1.0,0.85,0.8999999999999999,0.15994683017847847,-2.836129e-05,-2.969922e-05,-3.015986e-05,-2.869777e-05,0.06341663379792137,0.011864367002042317
1.0,10.0,0.85,0.8999999999999999,0.15994545228494508,-4.992551e-06,-5.551125e-06,-7.394037e-06,-5.281761e-06,0.4810138565814078,0.05792837542789391
10.0,1.0,0.85,0.8999999999999999,0.1599468301786202,-1.136318e-05,-1.057769e-05,-7.394100e-06,-1.053331e-05,0.3492931327892112,0.07303137016992131
10.0,10.0,0.85,0.8999999999999999,0.15994545228632973,-8.968703e-06,-9.391645e-06,-9.537304e-06,-9.074963e-06,0.06339842282089704,0.011847871267912346
1.0,1.0,0.85,0.95,0.4715900195584564,-6.195345e-05,-6.360428e-05,-8.892387e-05,-6.225821e-05,0.435333587372227,0.004919206178097008
1.0,10.0,0.85,0.95,0.4715878502156622,-8.744912e-06,-9.057384e-06,-2.180079e-05,-8.872128e-06,1.492969009767061,0.01454747933527866
10.0,1.0,0.85,0.95,0.47159001955868046,-5.767324e-05,-5.601641e-05,-2.180089e-05,-5.458633e-05,0.6219929324891869,0.05352424747353374
10.0,10.0,0.85,0.95,0.4715878502178369,-1.959145e-05,-2.011340e-05,-2.812007e-05,-1.968774e-05,0.43532372872764913,0.0049149604871899545
1.0,1.0,0.8999999999999999,0.75,-0.5033775936125607,6.412613e-05,6.296650e-05,9.491779e-05,6.390152e-05,0.4801732729769466,0.003502628487653449
1.0,10.0,0.8999999999999999,0.75,-0.5033780013370144,6.189973e-05,6.300829e-05,2.327040e-05,6.011510e-05,0.6240629325862366,0.028831024235101005
10.0,1.0,0.8999999999999999,0.75,-0.503377593612521,9.003710e-06,8.796070e-06,2.327039e-05,9.006772e-06,1.584533121370502,0.00034011240329927673
10.0,10.0,0.8999999999999999,0.75,-0.5033780013366104,2.027845e-05,1.991176e-05,3.001566e-05,2.020744e-05,0.48017526887096884,0.0035017979988933466
1.0,1.0,0.8999999999999999,0.8,-0.39813325668099864,5.782990e-05,5.689325e-05,7.507273e-05,5.736676e-05,0.2981644832820912,0.008008691501619496
1.0,10.0,0.8999999999999999,0.8,-0.39813384340486335,4.334526e-05,4.446462e-05,1.840513e-05,4.183076e-05,0.5753832302995845,0.03494051812514154
10.0,1.0,0.8999999999999999,0.8,-0.3981332566809417,8.474384e-06,8.271413e-06,1.840510e-05,8.453178e-06,1.1718508740748026,0.0025024257015019225
10.0,10.0,0.8999999999999999,0.8,-0.39813384340427704,1.828740e-05,1.799124e-05,2.374012e-05,1.814098e-05,0.2981681165783344,0.008006594912267536
1.0,1.0,0.8999999999999999,0.85,-0.2524053591790935,4.293746e-05,4.236604e-05,4.759401e-05,4.226581e-05,0.10844961045282256,0.015642437883391824
1.0,10.0,0.8999999999999999,0.85,-0.2524062451429259,2.119584e-05,2.162180e-05,1.166836e-05,2.028009e-05,0.4494977097034988,0.043204328760328016
10.0,1.0,0.8999999999999999,0.85,-0.25240535917900636,7.000771e-06,6.835003e-06,1.166832e-05,6.958821e-06,0.6667190385165537,0.005992227883714012
10.0,10.0,0.8999999999999999,0.85,-0.2524062451420411,1.357796e-05,1.339735e-05,1.505060e-05,1.336566e-05,0.10845805612790475,0.01563571189378099
1.0,1.0,0.8999999999999999,0.8999999999999999,-0.03744060842532602,7.587408e-06,7.160237e-06,7.059869e-06,7.040136e-06,0.06952830736788919,0.07212906768071825
1.0,10.0,0.8999999999999999,0.8999999999999999,-0.03744204470301645,2.251740e-06,1.973708e-06,1.730889e-06,1.879131e-06,0.23131022076408153,0.16547579348207797
10.0,1.0,0.8999999999999999,0.8999999999999999,-0.03744060842518187,1.555048e-06,1.580676e-06,1.730823e-06,1.595976e-06,0.11303509519228744,0.02631975690163728
10.0,10.0,0.8999999999999999,0.8999999999999999,-0.03744204470157837,2.399229e-06,2.264352e-06,2.232612e-06,2.226371e-06,0.06944602957884338,0.07204722717354456
1.0,1.0,0.8999999999999999,0.95,0.31120957818510303,-4.914542e-05,-5.025992e-05,-5.868224e-05,-4.928895e-05,0.19405309759070696,0.002920466682490717
1.0,10.0,0.8999999999999999,0.95,0.3112069734207108,-7.577152e-06,-7.867795e-06,-1.438663e-05,-7.695154e-06,0.8986853543186124,0.01557330938802624
10.0,1.0,0.8999999999999999,0.95,0.31120957818537154,-2.937263e-05,-2.839890e-05,-1.438675e-05,-2.812255e-05,0.5101987527284078,0.04255911283242869
10.0,10.0,0.8999999999999999,0.95,0.31120697342331166,-1.554127e-05,-1.589349e-05,-1.855680e-05,-1.558644e-05,0.19403356357768867,0.0029066936656477246
1.0,1.0,0.95,0.75,-0.7179061408757579,6.996994e-05,6.889209e-05,1.353697e-04,6.969784e-05,0.9346834871459975,0.0038887795068255726
1.0,10.0,0.95,0.75,-0.717906406970924,8.913159e-05,8.837589e-05,3.318773e-05,8.828970e-05,0.6276546925991762,0.00944546385468891
10.0,1.0,0.95,0.75,-0.717906140875729,9.490335e-06,9.337144e-06,3.318772e-05,9.459024e-06,2.4970015583971,0.003299212249403153
